date,subway,COVID-19,COVID-19 KOR
2019-07-31,14727795,0,0
2019-08-01,15211588,0,0
2019-08-02,15578501,0,0
2019-08-03,11041344,0,0
2019-08-04,8621308,0,0
2019-08-05,14662497,0,0
2019-08-06,15041522,0,0
2019-08-07,15113352,0,0
2019-08-08,15554874,0,0
2019-08-09,16190309,0,0
2019-08-10,11631832,0,0
2019-08-11,8935455,0,0
2019-08-12,14732333,0,0
2019-08-13,15755072,0,0
2019-08-14,16189062,0,0
2019-08-15,9479949,0,0
2019-08-16,15143669,0,0
2019-08-17,11583046,0,0
2019-08-18,9167117,0,0
2019-08-19,15635891,0,0
2019-08-20,16047474,0,0
2019-08-21,16140981,0,0
2019-08-22,16136462,0,0
2019-08-23,16974960,0,0
2019-08-24,12921308,0,0
2019-08-25,9443849,0,0
2019-08-26,16027199,0,0
2019-08-27,16319525,0,0
2019-08-28,16571615,0,0
2019-08-29,16004818,0,0
2019-08-30,17291942,0,0
2019-08-31,13283009,0,0
2019-09-01,9723567,0,0
2019-09-02,16519702,0,0
2019-09-03,16763281,0,0
2019-09-04,16302737,0,0
2019-09-05,16222719,0,0
2019-09-06,17317975,0,0
2019-09-07,8867522,0,0
2019-09-08,9371444,0,0
2019-09-09,16633297,0,0
2019-09-10,16445862,0,0
2019-09-11,16746170,0,0
2019-09-12,7142649,0,0
2019-09-13,6593946,0,0
2019-09-14,8216832,0,0
2019-09-15,8823943,0,0
2019-09-16,16108750,0,0
2019-09-17,16848897,0,0
2019-09-18,17066552,0,0
2019-09-19,17159717,0,0
2019-09-20,17946138,0,0
2019-09-21,13883870,0,0
2019-09-22,8845066,0,0
2019-09-23,16736817,0,0
2019-09-24,17152862,0,0
2019-09-25,17210192,0,0
2019-09-26,17137645,0,0
2019-09-27,17908102,0,0
2019-09-28,14540382,0,0
2019-09-29,10285671,0,0
2019-09-30,16655043,0,0
2019-10-01,16870473,0,0
2019-10-02,17176940,0,0
2019-10-03,11570190,0,0
2019-10-04,16974683,0,0
2019-10-05,14440923,0,0
2019-10-06,9996224,0,0
2019-10-07,15802745,0,0
2019-10-08,17519806,0,0
2019-10-09,11776891,0,0
2019-10-10,16861348,0,0
2019-10-11,17550734,0,0
2019-10-12,14080091,0,0
2019-10-13,10116903,0,0
2019-10-14,16529570,0,0
2019-10-15,16832469,0,0
2019-10-16,16777140,0,0
2019-10-17,16891540,0,0
2019-10-18,17629807,0,0
2019-10-19,14296995,0,0
2019-10-20,10232510,0,0
2019-10-21,16460481,0,0
2019-10-22,16814694,0,0
2019-10-23,16904958,0,0
2019-10-24,17008353,0,0
2019-10-25,18304809,0,0
2019-10-26,14789690,0,0
2019-10-27,10759317,0,0
2019-10-28,16803430,0,0
2019-10-29,17128382,0,0
2019-10-30,17215530,0,0
2019-10-31,17130105,0,0
2019-11-01,17614383,0,0
2019-11-02,13962600,0,0
2019-11-03,10294291,0,0
2019-11-04,16667631,0,0
2019-11-05,16906884,0,0
2019-11-06,17012914,0,0
2019-11-07,17084608,0,0
2019-11-08,17749423,0,0
2019-11-09,14083447,0,0
2019-11-10,9863334,0,0
2019-11-11,16450968,0,0
2019-11-12,16822173,0,0
2019-11-13,16589104,0,0
2019-11-14,16748971,0,0
2019-11-15,17116354,0,0
2019-11-16,13698245,0,0
2019-11-17,9066300,0,0
2019-11-18,16452920,0,0
2019-11-19,16701128,0,0
2019-11-20,16686499,0,0
2019-11-21,16773231,0,0
2019-11-22,17453395,0,0
2019-11-23,13532945,0,0
2019-11-24,9547852,0,0
2019-11-25,16322153,0,0
2019-11-26,16860579,0,0
2019-11-27,17152212,0,0
2019-11-28,17088645,0,0
2019-11-29,17794155,0,0
2019-11-30,13616999,0,0
2019-12-01,8910417,0,0
2019-12-02,16387838,0,0
2019-12-03,16584112,0,0
2019-12-04,16868229,0,0
2019-12-05,16837887,0,0
2019-12-06,17172754,0,0
2019-12-07,13346269,0,0
2019-12-08,9498646,0,0
2019-12-09,16322937,0,0
2019-12-10,16699780,0,0
2019-12-11,16944845,0,0
2019-12-12,17190797,0,0
2019-12-13,17959065,0,0
2019-12-14,14320462,0,0
2019-12-15,9902229,0,0
2019-12-16,16565044,0,0
2019-12-17,16503314,0,0
2019-12-18,17150639,0,0
2019-12-19,17328561,0,0
2019-12-20,18309510,0,0
2019-12-21,14243492,0,0
2019-12-22,10184645,0,0
2019-12-23,16791265,0,0
2019-12-24,17659721,0,0
2019-12-25,10741178,0,0
2019-12-26,16513405,0,0
2019-12-27,17252947,0,0
2019-12-28,13101272,0,0
2019-12-29,9483010,0,0
2019-12-30,16089703,0,0
2019-12-31,15384570,0,0
2020-01-01,6933389,0,0
2020-01-02,15358068,0,0
2020-01-03,16423964,0,0
2020-01-04,12055401,0,0
2020-01-05,8825002,0,0
2020-01-06,15612952,0,0
2020-01-07,15223742,0,0
2020-01-08,15964822,0,0
2020-01-09,16215978,0,0
2020-01-10,16901380,0,0
2020-01-11,12870357,0,0
2020-01-12,9208397,0,0
2020-01-13,15836005,0,0
2020-01-14,16074553,0,0
2020-01-15,16218847,0,0
2020-01-16,16254050,0,0
2020-01-17,16956830,0,0
2020-01-18,12771639,0,0
2020-01-19,9040265,0,0
2020-01-20,16019293,0,1
2020-01-21,16098891,0,0
2020-01-22,16090362,0,0
2020-01-23,15259101,0,0
2020-01-24,6515248,1,1
2020-01-25,5612643,0,0
2020-01-26,7287571,0,1
2020-01-27,7529876,0,1
2020-01-28,14218734,0,0
2020-01-29,15008142,0,0
2020-01-30,15034273,3,3
2020-01-31,15262872,3,4
2020-02-01,9802719,0,1
2020-02-02,7006847,1,3
2020-02-03,13994343,0,0
2020-02-04,14141705,0,1
2020-02-05,13785128,2,5
2020-02-06,13622533,2,3
2020-02-07,14365084,0,0
2020-02-08,9360945,0,0
2020-02-09,6884527,0,3
2020-02-10,13912141,0,1
2020-02-11,14364608,0,0
2020-02-12,13943631,0,0
2020-02-13,14603365,0,0
2020-02-14,15422032,0,0
2020-02-15,10533823,0,0
2020-02-16,7328890,2,2
2020-02-17,14374929,0,0
2020-02-18,14391023,0,2
2020-02-19,14593201,2,34
2020-02-20,14317165,5,16
2020-02-21,14058305,2,74
2020-02-22,8291748,5,190
2020-02-23,5473681,3,210
2020-02-24,11850347,4,207
2020-02-25,10869665,16,130
2020-02-26,10891001,10,253
2020-02-27,10561115,9,449
2020-02-28,10208806,12,427
2020-02-29,5687849,5,909
2020-03-01,3745292,5,595
2020-03-02,10099782,6,686
2020-03-03,10101907,0,600
2020-03-04,10066585,7,516
2020-03-05,10126553,1,438
2020-03-06,10509391,7,518
2020-03-07,6071093,7,483
2020-03-08,4271704,10,367
2020-03-09,10628969,26,248
2020-03-10,10120597,46,131
2020-03-11,10470617,17,242
2020-03-12,10278445,12,114
2020-03-13,10570314,9,110
2020-03-14,6318506,8,107
2020-03-15,4228801,6,76
2020-03-16,10412759,11,74
2020-03-17,10386272,6,84
2020-03-18,10709666,11,93
2020-03-19,10183252,17,152
2020-03-20,11131560,17,87
2020-03-21,6632749,8,147
2020-03-22,4620973,6,98
2020-03-23,10702185,6,64
2020-03-24,10740785,13,76
2020-03-25,10917489,13,100
2020-03-26,10632561,14,104
2020-03-27,11112367,15,91
2020-03-28,6766065,22,146
2020-03-29,4714091,22,105
2020-03-30,10838050,19,78
2020-03-31,10886179,24,125
2020-04-01,10912975,16,101
2020-04-02,10886085,20,89
2020-04-03,11348258,20,86
2020-04-04,6854942,20,94
2020-04-05,4729798,10,81
2020-04-06,11141456,8,47
2020-04-07,11198818,10,47
2020-04-08,11263549,11,53
2020-04-09,11242926,5,39
2020-04-10,11649729,3,27
2020-04-11,7169411,2,30
2020-04-12,4911601,8,32
2020-04-13,11378745,3,25
2020-04-14,11757605,5,27
2020-04-15,6301104,1,27
2020-04-16,11543344,2,22
2020-04-17,11489604,2,22
2020-04-18,7763131,1,18
2020-04-19,4959446,1,8
2020-04-20,11632313,0,13
2020-04-21,11880569,2,9
2020-04-22,11800654,0,11
2020-04-23,12014003,0,8
2020-04-24,12650774,1,6
2020-04-25,8190863,0,10
2020-04-26,5829532,0,10
2020-04-27,12246778,4,10
2020-04-28,12494449,0,14
2020-04-29,13085888,0,9
2020-04-30,7474372,1,4
2020-05-01,8166880,1,9
2020-05-02,7667247,2,6
2020-05-03,5956823,0,13
2020-05-04,11119095,0,8
2020-05-05,6579787,0,3
2020-05-06,13035258,0,2
2020-05-07,13193116,0,4
2020-05-08,13585022,13,12
2020-05-09,7648591,18,18
2020-05-10,6138834,21,34
2020-05-11,12780262,11,35
2020-05-12,12682828,8,27
2020-05-13,12807657,5,26
2020-05-14,12681615,12,29
2020-05-15,12503437,6,27
2020-05-16,8199417,4,19
2020-05-17,6079712,1,13
2020-05-18,12190000,7,15
2020-05-19,12312587,9,13
2020-05-20,13065486,4,32
2020-05-21,13001039,3,12
2020-05-22,13356365,3,20
2020-05-23,9046908,6,23
2020-05-24,5876210,7,25
2020-05-25,12892762,8,16
2020-05-26,12913816,20,19
2020-05-27,13208387,24,40
2020-05-28,12980157,19,79
2020-05-29,13358885,9,58
2020-05-30,8632510,6,39
2020-05-31,5971727,2,27
2020-06-01,12657392,13,35
2020-06-02,12390336,20,38
2020-06-03,12913554,15,49
2020-06-04,12871264,14,39
2020-06-05,13338687,28,39
2020-06-06,7927261,29,51
2020-06-07,6029661,15,57
2020-06-08,12634776,18,37
2020-06-09,12768352,13,38
2020-06-10,12861269,19,50
2020-06-11,12778809,25,45
2020-06-12,13257621,30,56
2020-06-13,8608565,12,48
2020-06-14,6050046,8,34
2020-06-15,12809333,12,37
2020-06-16,12937734,12,34
2020-06-17,13039682,24,43
2020-06-18,12997997,18,59
2020-06-19,13454881,17,49
2020-06-20,8834358,14,67
2020-06-21,6194623,8,48
2020-06-22,12748044,4,17
2020-06-23,13047635,11,46
2020-06-24,12544870,8,51
2020-06-25,12958621,17,28
2020-06-26,13705001,17,39
2020-06-27,9183200,14,51
2020-06-28,6462152,7,62
2020-06-29,12962515,8,42
2020-06-30,12776898,9,42
2020-07-01,13269273,13,51
2020-07-02,13300872,11,54
2020-07-03,13762347,7,61
2020-07-04,9141725,16,63
2020-07-05,6394705,3,61
2020-07-06,13148230,3,48
2020-07-07,13278851,11,44
2020-07-08,13420630,7,62
2020-07-09,13373711,8,50
2020-07-10,13582017,8,45
2020-07-11,9222124,7,35
2020-07-12,6376493,13,44
2020-07-13,12502801,7,62
2020-07-14,13293338,6,33
2020-07-15,13691880,7,39
2020-07-16,13532059,9,61
2020-07-17,13855329,6,60
2020-07-18,9253130,10,39
2020-07-19,5678099,3,34
2020-07-20,12810840,21,26
2020-07-21,13506969,17,45
2020-07-22,13154981,12,63
2020-07-23,12951822,20,59
2020-07-24,13638799,11,41
2020-07-25,9178734,7,113
2020-07-26,6498465,9,58
2020-07-27,12872527,7,25
2020-07-28,13208493,8,28
2020-07-29,12887082,3,48
2020-07-30,13171667,9,18
2020-07-31,13652352,2,36
2020-08-01,7863434,4,31
2020-08-02,5394284,5,30
2020-08-03,11580857,9,23
2020-08-04,12221557,6,34
2020-08-05,12293659,9,33
2020-08-06,12983916,10,43
2020-08-07,13803239,16,20
2020-08-08,8940467,13,43
2020-08-09,5344353,13,36
2020-08-10,12815694,7,28
2020-08-11,12922177,17,34
2020-08-12,13506841,23,54
2020-08-13,13282105,35,56
2020-08-14,13309479,71,103
2020-08-15,7589416,150,166
2020-08-16,6154071,91,279
2020-08-17,7548159,128,197
2020-08-18,12135258,152,246
2020-08-19,11650207,134,297
2020-08-20,11322654,127,288
2020-08-21,11285623,127,324
2020-08-22,6089748,147,332
2020-08-23,4324323,97,396
2020-08-24,10800943,142,266
2020-08-25,10883963,156,280
2020-08-26,10585572,107,320
2020-08-27,9813169,162,441
2020-08-28,10636579,118,371
2020-08-29,5585869,166,323
2020-08-30,3763667,70,299
2020-08-31,10058764,103,248
2020-09-01,9883896,87,235
2020-09-02,9501500,65,267
2020-09-03,9458722,46,195
2020-09-04,10473697,56,198
2020-09-05,5970869,58,168
2020-09-06,3988836,44,167
2020-09-07,9441222,81,119
2020-09-08,10527553,47,136
2020-09-09,10338746,36,156
